filename,width,height,class,xmin,ymin,xmax,ymax
010217_jpg.rf.0074aea1c7fdf8be8738c1d97026bbee.jpg,416,416,vehicle,38,14,415,414
006678_jpg.rf.0053fa1ec3a1d4002980f06aae32a47a.jpg,416,416,vehicle,29,76,394,415
001441_jpg.rf.006ffde97201134bcec3d4b55774e7de.jpg,416,416,vehicle,13,186,381,385
bike--319-_jpg.rf.0000236917a0259f2a10329e0998ce70.jpg,416,416,motorbike,91,0,302,401
bike--319-_jpg.rf.0000236917a0259f2a10329e0998ce70.jpg,416,416,vehicle,27,32,50,71
015982_jpg.rf.000c3ebdb1c4f6b3d872784c39e48eaf.jpg,416,416,vehicle,9,77,392,342
006521_jpg.rf.0053a0875372447cb87c90e0eadb3079.jpg,416,416,vehicle,10,112,413,410
003164_jpg.rf.008145d93a280bd3eb7a4cc83e9e1abe.jpg,416,416,vehicle,33,144,384,397
006271_jpg.rf.0060ab2aaee271fda59b9ffcaa8bb31c.jpg,416,416,vehicle,26,91,398,346
002866_jpg.rf.01842e63e4a6c8ac2f82d7b8d26bee35.jpg,416,416,vehicle,32,119,304,357
013269_jpg.rf.00aaa56b312e5cd7df149bebe083a2bb.jpg,416,416,vehicle,55,172,386,414
011634_jpg.rf.022af37f4eee3baf62e1ae99fb9ea556.jpg,416,416,vehicle,16,46,404,352
015557_jpg.rf.018d31ccb6e2ecd2ae77f5bb3f18fe86.jpg,416,416,vehicle,36,41,390,390
000161_jpg.rf.0037b05e65a48e4b26bb7662e35deca9.jpg,416,416,vehicle,15,93,398,341
004969_jpg.rf.0086cce762e93248810e49ddbbef4806.jpg,416,416,vehicle,57,102,338,368
003827_jpg.rf.020d38183f67bf89af95ae48ab88f22e.jpg,416,416,vehicle,35,113,391,365
005193_jpg.rf.011233fb39204e1a6f0e1b4de89b7380.jpg,416,416,vehicle,23,57,372,364
007381_jpg.rf.01b0552201ccd9cd843fdd8c2ca9544a.jpg,416,416,vehicle,42,91,385,356
009644_jpg.rf.019d070543c837c9c645eb7b5fee852e.jpg,416,416,vehicle,66,129,363,354
013401_jpg.rf.025118f4f8ca0940ff6b672c4735ce71.jpg,416,416,vehicle,10,247,409,405
012902_jpg.rf.0177425f8ef910dc6aff8c1601e25fe5.jpg,416,416,vehicle,25,33,380,410
