filename,width,height,class,xmin,ymin,xmax,ymax
012864_jpg.rf.ab093c435845acb4e7ef01c4a33d8c71.jpg,416,416,vehicle,44,234,273,415
006130_jpg.rf.ab0b525d18110f65e91780be39322352.jpg,416,416,vehicle,0,20,415,415
004027_jpg.rf.aafb5b2c44092545af36ce72d34c1f88.jpg,416,416,vehicle,25,105,400,407
015689_jpg.rf.ab087640be306d3c99dde37bb114b0d7.jpg,416,416,vehicle,8,60,415,404
015078_jpg.rf.ab0ccaf54aadc8d78899fb8fc7ca588d.jpg,416,416,vehicle,0,85,415,415
014254_jpg.rf.ab109106ba0e1a8475f158114332ed4c.jpg,416,416,vehicle,0,37,415,415
011804_jpg.rf.ab066a012d94eb5ba07caa0791ee22ce.jpg,416,416,vehicle,90,125,242,305
000623_jpg.rf.aafb35ae6a3d3dc495aa31272c5e945a.jpg,416,416,vehicle,0,68,391,376
011579_jpg.rf.ab076bced4b389370c1d383bc22e8cf5.jpg,416,416,vehicle,0,89,405,379
010651_jpg.rf.ab14674799fc491f55645567d243553f.jpg,416,416,vehicle,22,5,415,415
012805_jpg.rf.ab1811dd4ece15a2745f2e45fbe2895f.jpg,416,416,vehicle,0,31,415,395
013826_jpg.rf.ab1f275fe0e96a819661c72409835e4f.jpg,416,416,vehicle,7,50,415,415
009430_jpg.rf.ab35ee9aba82ad90d758958bb7bf400e.jpg,416,416,vehicle,21,101,388,370
008514_jpg.rf.ab303df653b55d8ab48abba17be8d585.jpg,416,416,vehicle,25,123,386,365
000471_jpg.rf.ab273592922022469e8799a0f0fefda9.jpg,416,416,vehicle,9,83,379,367
013549_jpg.rf.ab2c870ce739ad299751b7bc8593221a.jpg,416,416,vehicle,0,22,415,402
010986_jpg.rf.ab266f31495fb15a0fa6f814eec71d1d.jpg,416,416,vehicle,42,139,394,408
dbc_221_jpg.rf.ab2bddb890fb54354902b532e15f785e.jpg,416,416,motorbike,38,51,414,404
011911_jpg.rf.ab0c32ca303ac578b90a0b644b210af9.jpg,416,416,vehicle,22,115,416,327
011388_jpg.rf.ab3c5933034071ee390f3d7ac0ef6347.jpg,416,416,vehicle,19,106,415,410
015515_jpg.rf.ab3c97d3ea5976d8ccbade0e81bc93b0.jpg,416,416,vehicle,0,15,415,415
006369_jpg.rf.ab0dcfd504a9dfa50f6457e213eff526.jpg,416,416,vehicle,0,0,415,415
000073_jpg.rf.ab3a6d654bfdf962acaa29c216cabfda.jpg,416,416,vehicle,11,31,415,401
013169_jpg.rf.ab4185381e6616af08a71d4b60875ae4.jpg,416,416,vehicle,4,151,352,388
011113_jpg.rf.ab3b6955b6bad35dee7a342419f0ad84.jpg,416,416,vehicle,10,198,415,415
010511_jpg.rf.ab57d17fe65be2716e89c5dade562f1a.jpg,416,416,vehicle,0,0,415,415
015110_jpg.rf.ab4312719682d75a356561b22f909cc1.jpg,416,416,vehicle,19,72,415,415
008781_jpg.rf.ab50589472d87aeeb7d5695eabe8c97f.jpg,416,416,vehicle,0,44,415,404
dbc_165_jpg.rf.ab5c3b8e5800e432318bb3551ec56664.jpg,416,416,motorbike,35,138,353,408
